第一部类　三洞真经
CH0121-1-4 太素上清致帝君五神气法 1-227

上清太上帝君九真中经卷下
CH0121-2-1 太上玉晨郁仪奔日赤景玉文 1-228

太上玉晨结璘奔月黄景玉章
CH0121-2-2 太上八景四蕊紫浆五株绛生神丹方经序 1-230
CH0121-2-3 太上八景四蕊紫浆五株绛生神丹方经 1-231
CH0121-2-4 太一饵瑰葩云霄神仙上方 1-234
CH0121-2-5 太一玄水云华浆法 1-234
CH0121-2-6 太一四镇圆方 1-234
CH0121-2-7 太一胎精菖蒲圆散方 1-235
CH0122 上清太上九真中经绛生神丹诀-正统道藏正一部 1-237
CH0122-1 上清太上九真中经绛生神丹诀 1-237
CH0122-2 南极元君玉经宝诀 1-237
CH0122-3 太上回元隐道用除罪籍内篇 1-238
CH0122-4 太上九真帝君九阴混合纵景万化隐天经 1-240
CH0122-5 太上玉晨郁仪奔日赤景玉文结璘奔月黄景玉章 1-242
CH0123 上清八道秘言图-正统道藏洞玄部灵图类 1-245
CH0124 太上玉晨郁仪结璘奔日月图-正统道藏洞玄部灵图类 1-249
CH0124-1 太上玉晨郁仪结璘奔日月图 1-249
CH0124-2 日宫 1-250
CH0124-3 太上玉晨郁仪奔日赤景玉文 1-250
CH0124-4 月宫 1-252
CH0124-5 太上玉结璘奔月黄景玉章 1-253
CH0125 上清太上回元隐道除罪籍经-正统道藏正一部 1-256
CH0126 太上三天正法经-正统道藏正一部 1-259
CH0127 上清大洞九微八道大经妙箓-正统道藏正一部 1-264
CH0128 上清黄气阳精三道顺行经-正统道藏洞真部本文类 1-267
CH0129 上清外国放品青童内文 1-278



上清外国放品青童内文卷上
CH0129-1-1 高上入国隐元内文 1-278
CH0129-1-2 六国品铭三十六首 1-279

上清外国放品青童内文卷下
CH0129-2-1 高上九玄三十六天内音 1-286
CH0129-2-2 洞渊九地三十六音内铭 1-291
CH0129-2-3 高上外国六品正音 1-295
CH0130 皇天上清金阙帝君灵书紫文上经-正统道藏洞神部本文类1-299
CH0131 太微灵书紫文仙忌真记上经-正统道藏洞真部戒律类 1-304
CH0132 太微灵书紫文琅玕华丹神真上经-正统道藏洞 真部方法 1-306
CH0132-1 太微灵书紫文琅玕华丹神真上经类 1-306
CH0132-2 黄水月华丹法 1-307
CH0132-3 徊水玉精丹法 1-307
CH0132-4 水阳清映液法 1-308
CH0133 洞真太上紫度炎光神玄变经-正统道藏正一部 1-310
CH0134 洞真上清青要紫书金根众经-正统道藏正一部
CH0134-1 洞真上清青要紫书金根众经卷上 1-323
CH0134-2 洞真上清青要紫书金根众经光下 1-331
CH0135 洞真太上三九素语玉精真诀-正统道藏正一部 1-339
CH0136 上清三元玉检三元布经-正统道藏洞玄部本文类 1-344
CH0137 上清丹景道精隐地八术经-正统道藏正一部
CH0137-1 上清丹景道精隐地八术经卷上 1-360
CH0137-2 上清丹景道精隐地八术经光下 1-364
CH0138 洞真上清神州七转七变儛天经-正统道藏正一部 1-367
CH0139 洞真太一帝君太丹隐书洞真玄经-正统道藏正一部 1-378
CH0140 上清洞真元经五籍符-正统道藏洞真部神符类 1-395
CH0141 上清太一帝君太丹隐书解胞十二结节图诀 1-397
CH0142 洞真上清开天三图七星移度经-正统道藏正一部
CH0142-1 洞真上清开天三图七星移度经卷上 1-404
CH0142-2 洞真上清开天三图七星移度经卷下 1-408
CH0143 上清天关三图经-正统道藏正一部 1-415
CH0144 上清九丹上化胎精中记经-正统道藏正一部
CH0144-1 上清九丹上化胎精中记经 1-427
CH0144-2 上化九丹阳灵之符 1-429
CH0144-3 胎精炼神之符 1-430
CH0144-4 三关十二结胞胎内符 1-432
CH0144-5 九丹流精保命之符 1-436
CH0145 上清胎精记解结行事诀-正统道藏洞玄部玉诀类 1-437
CH0146 洞真太上九赤班符五帝内真经-正统道藏正一部 1-442
CH0147 洞真太微金虎真符-正统道藏正一部 1-454
CH0148 洞真太上金篇虎符真文经-正统道藏正一部 1-460
CH0149 洞真太上神虎玉经-正统道藏正一部 1-463
CH0150 洞真太上神虎隐文-正统道藏正一部 1-465
CH0151 玉景九天金霄威神王祝太元上经-正统道藏洞真部方法类1-468
CH0152 上清太上元始耀光金虎凤文章宝经-正统道藏正一部 1-472
CH0153 上清高上玉晨凤台曲素上经-正统道藏正一部 1-477
CH0154 上清曲素诀辞箓-正统道藏正一部 1-486



CH0155 上清白羽黑翮灵飞玉符-正统道藏洞真部神符类 1-494
CH0156 洞真上清龙飞九道尺素隐诀-正统道藏正一部 1-497
CH0157 上清琼宫灵飞六甲左右上符-正统道藏洞真部神符类 1-502
CH0158 上清琼宫灵飞六甲箓-正统道藏正一部 1-510
CH0159 太上玉佩金珰太极金书上经-正统道藏洞真部本文类 1-518
CH0160 上清太霄隐书元真洞飞二景经-正统道藏正一部 1-530
CH0161 上清元始变化宝真上经九灵太妙龟山玄箓-正统道藏正一部
CH0161-1 上清元始变化宝真上经九灵太妙龟山玄箓卷上 1-533
CH0161-2 上清元始变化宝真上经九灵太妙龟山玄箓卷中 1-552
CH0161-3 上清元始变化宝真上经九灵太妙龟山玄箓卷下 1-570
CH0162 上清元始变化宝真上经-万历续道藏 1-585
CH0163 上清高上龟山玄箓-正统道藏正一部 1-604
CH0164 上清玉帝七圣玄纪回天九霄经-正统道藏正一部 1-616
CH0165 上清太上黄素四十四方经-正统道藏正一部 1-628
CH0166 高上太霄琅书琼文帝章经-正统道藏洞真部本文类 1-636
CH0167 洞真太上太霄琅书-正统道藏正一部

CH0167-01 洞真太上太霄琅书卷一 1-646
CH0167-02 洞真太上太霄琅书卷二(原缺)
CH0167-03 洞真太上太霄琅书卷三 1-654
CH0167-04 洞真太上太霄琅书卷四 1-661
CH0167-05 洞真太上太霄琅书卷五 1-669
CH0167-06 洞真太上太霄琅书卷六 1-673
CH0167-07 洞真太上太霄琅书卷七 1-687
CH0167-08 洞真太上太霄琅书卷八 1-691
CH0167-09 洞真太上太霄琅书卷九 1-696
CH0167-10 洞真太上太霄琅书卷十 1-698
CH0168 高上太霄琅书琼文帝章诀-正统道藏洞真部玉诀类 1-703
CH0169 洞真高上玉清隐书经(四种)-正统道藏正一部 1-707
CH0169-1 上清太上玉清隐书灭魔神慧高玄真经 1-707
CH0169-2 上清高上灭魔玉帝神慧玉清隐书经 1-722
CH0169-3 上清高上灭魔洞景金元玉清隐书经 1-729
CH0169-4 上清高上金元羽章玉清隐书经 1-733
CH0170 洞真太上紫文丹章-正统道藏正一部 1-743

序号 经目 页码
CH02 第二册目录 2-

CH02001 洞真太飞行羽经九真升玄上记-正统道藏正一部 2-001
CH02002 太上飞行九晨玉经-正统道藏洞玄部玉诀类 2-006
CH02003 太上飞步五星经-正统道藏洞神部本文类 2-019
CH02004 太上五星七元空常诀-正统道藏洞神部方法类 2-023
CH02004-1 七元图 2-023
CH02004-2 行太上隐书事 2-025
CH02004-3 飞步空常图 2-027
CH02004-4 修空常诀要 2-028
CH02005 上清五常变通万化冥经-正统道藏洞玄部本文类 2-032
CH02006 上清河图内玄经-正统道藏正一部 2-049
CH02006-1 上清河图内玄经卷上 2-049



CH02006-2 上清河图内玄经卷下 2-055
CH02007 上清河图宝箓-正统道藏正一部 2-061
CH02008 北斗九皇隐讳经-万历续道藏 2-064
CH02009 上清金书玉字上经-正统道藏洞真部方法类 2-066
CH02010 上清紫精君皇初紫灵道君洞房上经-正统道藏洞玄部玉诀2类-070
CH02011 上清紫微帝君南极元君玉经宝诀-正统道藏洞玄部玉诀类2-077
CH02012 太微帝君二十四神回元经-万历续道藏 2-081
CH02013 太上洞房内经注-正统道藏洞真部玉诀类 2-084
CH02013-1 太上洞房内经注序 2-084
CH02013-2 太上洞房内经注 2-080
CH02014 金阙帝君三元真一经-正统道藏洞真部方法类 2-089
CH02015 上清金阙帝君五斗三一图诀-正统道藏洞神部灵图类 2-092
CH02016 元始天尊说玄微妙经-正统道藏洞真部本文类 2-099
CH02017 上清神宝洞房真讳上经-正统道藏太玄部 2-102
CH02018 上清无英合游内变玉经-正统道藏太玄部 2-105
CH02019 上清后圣道君列纪-正统道藏洞玄部谱录类 2-106
CH02020 上清七圣玄纪经-正统道藏正一部 2-111
CH02021 真诰太上洞房内经注-正统道藏太玄部 2-112

CH02021-01 卷一 2-112
CH02021-02 卷二 2-118
CH02021-03 卷三 2-126
CH02021-04 卷四 2-132
CH02021-05 卷五 2-138
CH02021-06 卷六 2-145
CH02021-07 卷七 2-150
CH02021-08 卷八 2-156
CH02021-09 卷九 2-161
CH02021-10 卷十 2-170
CH02021-11 卷十一 2-179
CH02021-12 卷十二 2-187
CH02021-13 卷十三 2-193
CH02021-14 卷十四 2-201
CH02021-15 卷十五 2-209
CH02021-16 卷十六 2-214
CH02021-17 卷十七 2-220
CH02021-18 卷十八 2-227
CH02021-19 卷十九 2-234
CH02021-20 卷二十 2-239
CH02022 登真隐诀-正统道藏洞玄部玉诀类 2-245
CH02022-1 登真隐诀卷上 2-245
CH02022-2 登真隐诀卷中 2-249
CH02022-3 登真隐诀卷下 2-258
CH02023 上清三真旨要玉诀-正统道藏洞玄部玉诀类 2-269
CH02023-1 上清三真旨要玉诀 2-269
CH02023-2 西王母宝神起居玉经 2-271
CH02023-3 西王母宝生无死玉经 2-272
CH02023-4 清灵真人裴君说神宝经 2-272



CH02023-5 西王母反胎按摩玉经 2-273
CH02024 上清握中诀-正统道藏洞真部玉诀类 2-281
CH02024-1 上清握中诀卷上 2-281
CH02024-2 上清握中诀卷中 2-284
CH02024-3 上清握中诀卷下 2-291
CH02025 上清修行秘诀(拟)-敦煌本 2-296
CH02026 洞真西王母宝神起居经-正统道藏正一部 2-299
CH02027 上清太极真人撰所施行秘要经-正统道藏正一部 2-307
CH02028 上清众真教戒德行经-正统道藏洞玄部戒律类 2-310
CH02028-1 上清众真教戒德行经卷上 2-310
CH02028-2 上清众真教戒德行经卷下 2-313
CH02029 上清太极真人神仙经-正统道藏正一部 2-315
CH02030 上清明堂元真经诀-正统道藏洞玄部玉诀类 2-325
CH02031 上清洞真解过诀-正统道藏洞玄部玉诀类 2-329
CH02032 洞真太上八道命籍经-正统道藏正一部 2-335
CH02033 紫文行事诀-敦煌本 2-352
CH02034 紫庭内秘诀修行法-正统道藏洞神部方法类 2-364
CH02035 上清修身要事经-正统道藏正一部 2-370
CH02036 上清修行经诀-正统道藏洞玄部玉诀类 2-381
CH02037 上清仙府琼林经-正统道藏正一部 2-392
CH02038 太清真人络命诀-正统道藏洞真部玉诀类 2-401
CH02039 洞真金房度命绿字回年三华宝曜内真上经-正统道藏正一2部-405
CH02040 洞真太上三元流珠经-正统道藏正一部 2-409
CH02041 上清大洞九宫朝修秘诀上道-正统道藏洞玄部方法类 2-412
CH02042 上清洞真九宫紫房图-正统道藏洞真部灵图类 2-416
CH02043 上清回神飞霄登空招五星上法经-正统道藏正一部 2-419
CH02044 上清化形隐景登升保仙上经-正统道藏正一部 2-422
CH02045 上清丹元玉真帝皇飞仙上经-正统道藏洞玄部玉诀类 2-424
CH02046 上清秘道九精回曜合神上真玉经-正统道藏太玄部 2-426
CH02047 上清华晨三奔玉诀-正统道藏洞玄部玉诀类 2-428
CH02048 太上飞步南斗太微玉经-正统道藏洞神部本文类 2-430
CH02049 上清丹天三气玉皇六飞纲司命大箓-正统道藏洞神部神符2类-434
CH02050 上清经秘诀-正统道藏正一部 2-440
CH02051 上清金匮玉镜修真指玄妙经-正统道藏洞玄部本文类 2-441
CH02052 洞真太微黄书天帝君石景金阳素经-正统道藏洞真部神符2类-447
CH02053 洞真太微黄书九天八箓真文-正统道藏洞真部方法类 2-452
CH02054 洞真太上太素玉箓-正统道藏正一部 2-455
CH02055 上清太微帝君结带真文法-正统道藏正一部 2-458
CH02056 洞真太上上清内经-正统道藏正一部 2-459
CH02057 洞真太上紫书箓传-正统道藏正一部 2-463
CH02058 洞真太上说智慧消魔真经-正统道藏正一部 2-468
CH02058-1 卷一(真药玄英诏高灵品) 2-468
CH02058-2 卷二(入定品) 2-474
CH02058-3 卷三(守一品) 2-476
CH02058-4 卷四(证圣品) 2-482
CH02058-5 卷五(变化品) 2-485
CH02059 洞真太上青牙始生经-正统道藏正一部 2-486



CH02060 洞真太上丹景道精经-正统道藏正一部 2-487
CH02061 上清诸真章颂-正统道藏洞玄部赞诵类 2-490
CH02062 高上玉宸忧乐章-万历续道藏 2-497
CH02063 太上洞真徊玄章-万历续道藏 2-500
CH02064 上清金章十二篇-万历续道藏 2-501
CH02065 上清诸真人授经时颂金真章-正统道藏正一部 2-503
CH02066 上清无上金元玉清金真飞元步虚玉章-正统道藏正一部 2-505
CH02067 诸真歌颂-正统道藏洞神部赞诵类 2-507
CH02068 众仙赞颂灵章-正统道藏洞玄部赞诵类 2-516
CH02069 上回耀飞光日明精华上经-正统道藏正一部 2-521
CH02070 上清洞玄明灯上经-正统道藏洞玄部本文类 2-523
CH02071 上清明鉴要经-正统道藏正一部 2-526
CH02072 上清明鉴真经-正统道藏正一部 2-531
CH02073 上清长生宝鉴图-正统道藏洞玄部灵图类 2-535
CH02074 上清含象鉴剑图-正统道藏洞玄部灵图类 2-537
CH02075X 上清佩符文诀 2-540
CH02075-1 上清佩符文青券诀 2-540
CH02075-2 上清佩符文白券诀 2-543
CH02075-3 上清佩符文绛券诀 2-548
CH02075-4 上清佩符文黑券诀 2-549
CH02075-5 上清佩符文黄券诀 2-551
CH02076 上清豁落七元符-正统道藏洞玄部神符类 2-554
CH02077 上清高圣太上大道君洞真金元八景玉箓-正统道藏正一部2-556
CH02078 洞真八景玉箓晨图隐符-正统道藏正一部 2-563
CH02079 上清洞真天宝大洞三景宝箓-正统道藏正一部 2-566
CH02079-1 上清洞真天宝大洞三景宝箓 卷上 2-566
CH02079-2 上清洞真天宝大洞三景宝箓 卷下 2-580
CH02080 上清大洞三景玉清隐书诀箓-正统道藏正一部 2-591
CH02081 元始高上玉检大箓-正统道藏洞真部谱录类 2-596
CH02082 太玄八景箓-正统道藏洞真部方法类 2-601
CH02083 上清元始谱录太真玉诀-正统道藏正一部 2-615
CH02084 上清元始高上玉皇九天谱录-正统道藏正一部 2-619
CH02085 道迹灵仙记-正统道藏洞玄部记传类 2-624
CH02086 元始上真众仙记-正统道藏洞真部谱录类 2-630
CH02087 上清三尊谱录-正统道藏洞真部谱录类 2-634
CH02088 无上三元镇宅灵箓-正统道藏洞真部神符类 2-639
CH02089 上清金真玉皇上元九天真灵三百六十五部元箓-正统道藏2正-6一47部
CH02090 上清众经诸真圣秘-正统道藏洞玄部谱录类 2-656
CH02090-1 上清众经诸真圣秘卷一 2-656
CH02090-2 上清众经诸真圣秘卷二 2-664
CH02090-3 上清众经诸真圣秘卷三 2-672
CH02090-4 上清众经诸真圣秘卷四 2-678
CH02090-5 上清众经诸真圣秘卷五 2-683
CH02090-6 上清众经诸真圣秘卷六 2-688
CH02090-7 上清众经诸真圣秘卷七 2-695
CH02090-8 上清众经诸真圣秘卷八 2-702
CH02091 上清高上玉真众道综监宝讳-正统道藏洞玄部谱录类 2-708



CH02092 太上求仙定录尺素真诀玉文-正统道藏洞真部玉诀类 2-711
CH02093 洞玄灵宝真灵位业图-正统道藏洞真部谱录类 2-721
CH02094 七域修真证品图-正统道藏洞玄部灵图类 2-732
CH02095 上清洞真智慧观身大戒文-正统道藏正一部 2-735
CH02096 玉清上宫科太真文-正统道藏正一部 2-743
CH02097 太真玉帝四极明科经-正统道藏洞真部戒律类 2-752
CH02097-0 太真玉帝四极明科经 2-752
CH02097-1 卷一(太玄上宫女青四极明科律文) 2-755
CH02097-2 卷二(太玄下宫女青四极明科律文) 2-758
CH02097-3 卷三(太玄左宫女青四极明科律文) 2-764
CH02097-4 卷四(太玄右宫女青四极明科律文) 2-770
CH02097-5 卷五(太玄都中宫女青律文) 2-774
CH02098 洞真太上仓元上录-正统道藏正一部 2-783
CH02099 洞真太上上皇民籍定真玉录-正统道藏正一部 2-786
CH02100 上清太上开天龙蹻经-正统道藏正一部 2-789

序号 经目 页码
CH03 第三册目录

CH03-01 元始五老赤书玉篇真文天书经-正统道藏洞真部本文类 3-001
CH03-01-1 元始五老赤书玉篇真文天书经卷上 3-001
CH03-01-2 元始五老赤书玉篇真文天书经卷中 3-014
CH03-01-3 元始五老赤书玉篇真文天书经卷下 3-020
CH03-02 太上洞玄灵宝赤书玉诀妙经-正统道藏洞玄部本文类 3-026
CH03-02-1 太上洞玄灵宝赤书玉诀妙经卷上 3-026
CH03-02-2 太上洞玄灵宝赤书玉诀妙经卷下 3-037
CH03-03 洞玄灵宝五老摄召北酆鬼魔赤书玉诀-正统道藏正一部 3-049
CH03-04 洞玄灵宝丹水飞术运度小劫妙经-正统道藏洞玄部本文类3-052
CH03-05 太上洞玄灵宝天地运度自然妙经-正统道藏洞玄部本文类3-060
CH03-06 太上洞玄灵宝空洞灵章经-敦煌本 3-063
CH03-07 洞玄灵宝玉京山步虚经-续道藏 3-070
